movie_id,movie_rank,movie_votes,movie_title,originalTitle,movie_year,movie_rating,titleType,isAdult,movie_runtime,movie_genres
tt9354842,357,39730,To All the Boys: P.S. I Still Love You,To All the Boys: P.S. I Still Love You,2020,6,movie,0,101,"Comedy, Drama, Romance"
tt8522006,353,40096,Happiest Season,Happiest Season,2020,6.6,movie,0,102,"Comedy, Drama, Romance"
tt1618434,120,129181,Murder Mystery,Murder Mystery,2019,6,movie,0,97,"Action, Comedy, Crime"
tt4126476,266,56281,After,After,2019,5.3,movie,0,105,"Drama, Romance"
tt2527338,19,450203,Star Wars: The Rise Of Skywalker,Star Wars: Episode IX - The Rise of Skywalker,2019,6.5,movie,0,141,"Action, Adventure, Fantasy"
tt1302006,24,387328,The Irishman,The Irishman,2019,7.8,movie,0,209,"Biography, Crime, Drama"
tt6139732,45,266184,Aladdin,Aladdin,2019,6.9,movie,0,128,"Adventure, Comedy, Family"
tt4244998,240,63086,Alpha,Alpha,2018,6.6,movie,0,96,"Action, Adventure, Drama"
tt6436726,459,29557,7500,7500,2019,6.3,movie,0,93,"Action, Drama, Thriller"
tt1365519,60,215316,Tomb Raider,Tomb Raider,2018,6.3,movie,0,119,"Action, Adventure, Fantasy"
tt7349662,46,264537,BlacKkKlansman,BlacKkKlansman,2018,7.5,movie,0,135,"Biography, Comedy, Crime"
tt7395114,111,135545,The Devil All the Time,The Devil All the Time,2020,7.1,movie,0,138,"Crime, Drama, Thriller"
tt4971344,233,65459,The Sisters Brothers,Les frères Sisters,2018,6.9,movie,0,122,"Drama, Western"
tt5033998,212,74226,"Charlie's Angels","Charlie's Angels",2019,4.9,movie,0,118,"Action, Adventure, Comedy"
tt4799066,430,32001,Midnight Sun,Midnight Sun,2018,6.6,movie,0,91,"Drama, Romance"
tt10161886,478,27519,The Prom,The Prom,2020,5.9,movie,0,130,"Comedy, Drama, Musical"
tt11161474,299,50360,Pieces of a Woman,Pieces of a Woman,2020,7,movie,0,126,Drama
tt7126948,43,267203,Wonder Woman 1984,Wonder Woman 1984,2020,5.4,movie,0,151,"Action, Adventure, Fantasy"
tt7638348,224,68240,Boss Level,Boss Level,2020,6.8,movie,0,100,"Action, Adventure, Comedy"
tt2066051,76,175864,Rocketman,Rocketman,2019,7.3,movie,0,121,"Biography, Drama, Musical"
tt6195094,408,33434,Incident in a Ghostland,Ghostland,2018,6.4,movie,0,91,"Drama, Horror, Mystery"
tt9426210,342,41703,Weathering with You,Tenki no ko,2019,7.5,movie,0,112,"Animation, Drama, Fantasy"
tt4701182,83,166183,Bumblebee,Bumblebee,2018,6.7,movie,0,114,"Action, Adventure, Sci-Fi"
tt8079248,95,153623,Yesterday,Yesterday,2019,6.8,movie,0,116,"Comedy, Fantasy, Music"
tt10189514,134,116718,Soorarai Pottru,Soorarai Pottru,2020,8.7,movie,0,153,Drama
tt1255919,377,36990,Holmes & Watson,Holmes & Watson,2018,3.9,movie,0,90,"Comedy, Crime, Mystery"
