movie_id,movie_title,movie_rank,movie_year,movie_runtime,movie_rating,movie_votes,movie_genres
tt5606664,Doctor Sleep,65.,2019,152 min,7.3,"194,055","Drama, Fantasy, Horror           "
tt7846844,Enola Holmes,66.,2020,123 min,6.6,"189,213","Action, Adventure, Crime           "
tt1213641,First Man,67.,2018,141 min,7.3,"189,095","Biography, Drama, History           "
tt6565702,X-Men: Dark Phoenix,68.,2019,113 min,5.7,"188,182","Action, Adventure, Sci-Fi           "
tt2873282,Red Sparrow,69.,2018,140 min,6.6,"187,343","Action, Drama, Thriller           "
tt6499752,Upgrade,70.,2018,100 min,7.5,"186,793","Action, Sci-Fi, Thriller           "
tt3741700,Godzilla: King of the Monsters,71.,2019,132 min,6.0,"183,713","Action, Adventure, Fantasy           "
tt1560220,Zombieland: Double Tap,72.,2019,99 min,6.7,"180,856","Action, Comedy, Horror           "
tt6450804,Terminator: Dark Fate,73.,2019,128 min,6.2,"178,590","Action, Adventure, Sci-Fi           "
tt1070874,The Trial of the Chicago 7,74.,2020,129 min,7.7,"177,726","Drama, History, Thriller           "
tt8106534,6 Underground,75.,2019,128 min,6.1,"177,611","Action, Thriller           "
tt2066051,Rocketman,76.,2019,121 min,7.3,"175,931","Biography, Drama, Musical           "
tt3104988,Crazy Rich Asians,77.,2018,120 min,6.9,"173,424","Comedy, Drama, Romance           "
tt9620292,Promising Young Woman,78.,2020,113 min,7.5,"173,233","Crime, Drama, Mystery           "
tt4520988,Frozen II,79.,2019,103 min,6.8,"173,064","Animation, Adventure, Comedy           "
tt4779682,The Meg,80.,2018,113 min,5.6,"172,478","Action, Horror, Sci-Fi           "
tt5104604,Isle of Dogs,81.,2018,101 min,7.8,"169,744","Animation, Adventure, Comedy           "
tt2231461,Rampage,82.,2018,107 min,6.1,"169,352","Action, Adventure, Sci-Fi           "
tt4701182,Bumblebee,83.,2018,114 min,6.7,"166,277","Action, Adventure, Sci-Fi           "
tt7556122,The Old Guard,84.,2020,125 min,6.6,"165,730","Action, Thriller           "
tt5884052,Pokémon Detective Pikachu,85.,2019,104 min,6.5,"164,135","Action, Adventure, Comedy           "
tt7668870,Searching,86.,2018,102 min,7.6,"163,659","Drama, Horror, Mystery           "
tt5848272,Ralph Breaks the Internet,87.,2018,112 min,7.0,"162,121","Animation, Adventure, Comedy           "
tt1502397,Bad Boys for Life,88.,2020,124 min,6.5,"161,393","Action, Comedy, Crime           "
tt9770150,Nomadland,89.,2020,107 min,7.3,"161,209",Drama           
tt3766354,The Equalizer 2,90.,2018,121 min,6.7,"161,077","Action, Crime, Thriller           "
tt9484998,Palm Springs,91.,2020,90 min,7.4,"159,748","Comedy, Fantasy, Mystery           "
tt6155172,Roma,92.,2018,135 min,7.7,"158,978",Drama           
tt10288566,Another Round,93.,2020,117 min,7.7,"157,993","Comedy, Drama           "
tt1502407,Halloween,94.,2018,106 min,6.5,"156,324","Crime, Horror, Thriller           "
tt8079248,Yesterday,95.,2019,116 min,6.8,"153,657","Comedy, Fantasy, Music           "
tt10272386,The Father,96.,2020,97 min,8.2,"152,857","Drama, Mystery           "
tt7798634,Ready or Not,97.,2019,95 min,6.8,"152,406","Action, Comedy, Horror           "
tt6628394,Bad Times at the El Royale,98.,2018,141 min,7.1,"151,354","Crime, Drama, Mystery           "
tt7040874,A Simple Favor,99.,2018,117 min,6.8,"150,434","Comedy, Crime, Mystery           "
tt4729430,Klaus,100.,2019,96 min,8.1,"150,032","Animation, Adventure, Comedy           "
tt7146812,Onward,101.,2020,102 min,7.4,"149,886","Animation, Adventure, Comedy           "
