movie_id,rank,votes,title,originalTitle,year,rating,titleType,isAdult,runtime,genres
tt1979376,47.0,250953.0,Toy Story 4,Toy Story 4,2019.0,7.7,movie,0,100.0,"Animation, Adventure, Comedy           "
tt6105098,50.0,245592.0,The Lion King,The Lion King,2019.0,6.8,movie,0,118.0,"Animation, Adventure, Drama           "
tt7975244,48.0,250943.0,Jumanji: The Next Level,Jumanji: The Next Level,2019.0,6.7,movie,0,123.0,"Action, Adventure, Comedy           "
tt6823368,51.0,244292.0,Glass,Glass,2019.0,6.6,movie,0,129.0,"Drama, Horror, Sci-Fi           "
tt2704998,54.0,235918.0,Game Night,Game Night,2018.0,6.9,movie,0,100.0,"Action, Adventure, Comedy           "
tt7713068,52.0,239394.0,Birds of Prey,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020.0,6.0,movie,0,109.0,"Action, Adventure, Comedy           "
tt2935510,53.0,236219.0,Ad Astra,Ad Astra,2019.0,6.5,movie,0,123.0,"Adventure, Drama, Mystery           "
tt9243946,49.0,250294.0,El Camino: A Breaking Bad Movie,El Camino: A Breaking Bad Movie,2019.0,7.3,movie,0,122.0,"Action, Crime, Drama           "
tt1051906,55.0,228909.0,The Invisible Man,The Invisible Man,2020.0,7.1,movie,0,124.0,"Drama, Horror, Mystery           "
tt5164214,58.0,220335.0,Ocean's Eight,Ocean's Eight,2018.0,6.3,movie,0,110.0,"Action, Comedy, Crime           "
tt1365519,60.0,215369.0,Tomb Raider,Tomb Raider,2018.0,6.3,movie,0,119.0,"Action, Adventure, Fantasy           "
tt8228288,57.0,225460.0,The Platform,El hoyo,2019.0,7.0,movie,0,94.0,"Horror, Sci-Fi, Thriller           "
tt6806448,61.0,213457.0,Fast & Furious Presents: Hobbs & Shaw,Fast & Furious Presents: Hobbs & Shaw,2019.0,6.5,movie,0,137.0,"Action, Adventure, Thriller           "
tt8332922,56.0,227472.0,A Quiet Place Part II,A Quiet Place Part II,2020.0,7.2,movie,0,97.0,"Drama, Horror, Sci-Fi           "
tt7984734,59.0,217508.0,The Lighthouse,The Lighthouse,2019.0,7.4,movie,0,109.0,"Drama, Fantasy, Horror           "
tt5083738,64.0,201243.0,The Favourite,The Favourite,2018.0,7.5,movie,0,119.0,"Biography, Comedy, Drama           "
tt8936646,63.0,203606.0,Extraction,Extraction,2020.0,6.7,movie,0,116.0,"Action, Thriller           "
tt3281548,62.0,205003.0,Little Women,Little Women,2019.0,7.8,movie,0,135.0,"Drama, Romance           "
tt1213641,67.0,189095.0,First Man,First Man,2018.0,7.3,movie,0,141.0,"Biography, Drama, History           "
tt2873282,69.0,187343.0,Red Sparrow,Red Sparrow,2018.0,6.6,movie,0,140.0,"Action, Drama, Thriller           "
tt5606664,65.0,194055.0,Doctor Sleep,Doctor Sleep,2019.0,7.3,movie,0,152.0,"Drama, Fantasy, Horror           "
